Frame Yaw Pitch Roll
0 1.1469269 -2.359146 -2.8843231
1 1.1367645 -2.4884186 -2.9634247
2 1.9869385 -2.3904266 -3.016365
3 0.9471283 -2.639717 -3.2810516
4 1.2319794 -2.664444 -3.1447601
5 1.0727844 -2.4393768 -3.0001068
6 0.69873047 -2.2973099 -2.9648895
7 0.88671875 -2.514244 -3.1265411
8 1.0651703 -2.81839 -2.9720154
9 1.4337463 -2.4971008 -3.1021118
10 1.6100159 -2.7153778 -3.0521317
11 1.6037598 -2.7390976 -3.2312317
12 1.5309753 -3.090149 -3.098999
13 2.2279968 -3.2972336 -3.181511
14 1.6304932 -2.7160797 -3.3943634
15 1.4200897 -2.810379 -3.5005798
16 1.9324951 -2.793106 -3.3221893
17 1.4100342 -3.1793365 -3.2779617
18 1.3170013 -2.8803253 -3.2008438
19 1.7677307 -2.7332153 -2.9037476
20 1.7086792 -2.43042 -3.2221527
21 1.5635376 -2.3410034 -3.1005783
22 1.8896484 -2.573349 -3.1473389
23 1.3127594 -2.1878815 -2.8540192
24 1.1557617 -2.6185684 -3.228485
25 1.4806519 -2.658165 -3.073578
26 1.4648895 -2.5074692 -3.1922379
27 1.7910614 -3.1227112 -3.2956543
28 1.6343079 -2.7572937 -3.4220657
29 0.9524536 -2.4380493 -3.4056168
30 1.86232 -1.6936798 -3.4683533
31 1.2350769 -2.2411652 -3.2442856
32 1.4619751 -1.9351959 -3.3464127
33 1.2129211 -1.7301636 -3.6287155
34 1.1507263 -1.911087 -3.2879715
35 1.181366 -1.6742706 -3.1408005
36 1.2557983 -1.1595383 -3.589157
37 1.7804108 -1.7162018 -3.4249573
38 1.5466309 -1.6358414 -3.414978
39 1.6707001 -1.4533997 -3.5366745
40 1.4668121 -2.5515518 -3.9121552
41 1.8428192 -1.9627838 -3.6355972
42 1.2933502 -1.5246124 -3.503189
43 2.0283508 -0.8045044 -3.570984
44 1.3867188 -0.8108063 -3.7168274
45 0.9842682 -0.5285187 -3.7680435
46 0.4000244 -0.24256897 -3.0521774
47 0.7623291 0.57147217 -3.051361
48 1.072998 0.40628052 -2.5482483
49 1.1980591 0.995018 -2.5801086
50 1.1873169 1.0142517 -2.455368
51 0.8244629 1.1274872 -2.3262482
52 1.4592743 1.9748611 -1.6452484
53 1.4007568 1.7641525 -1.6927872
54 1.7115936 1.9029846 -1.3426056
55 1.7467194 2.5361023 -0.8784256
56 1.8211365 3.0916748 -1.1665497
57 1.3006287 3.367447 -1.2195511
58 0.7885742 3.0477905 -0.9785385
59 0.9195709 2.3323517 -1.296875
60 0.7763214 2.7576752 -1.1045074
61 0.7197876 3.3912048 -0.91568756
62 2.0178833 5.038513 0.03412628
63 1.8395691 5.102577 -0.36673737
64 2.5253754 4.6854706 -0.81347656
65 2.8538666 4.9150085 -1.088501
66 2.8148956 4.270523 -1.3232574
67 2.4639282 2.71138 -1.1142197
68 2.4567413 2.100708 -0.3620224
69 3.013855 2.1535492 -0.86185455
70 2.9613342 3.085991 -0.8307495
71 2.4769135 3.8787994 -0.62635803
72 0.90966797 3.355156 -0.84910583
73 1.4042664 3.5202255 -0.37945557
74 1.3207092 3.9069977 -0.5434418
75 1.7619934 4.0656586 -1.1660919
76 1.097641 3.9616547 -1.1964874
77 2.5417023 3.7450256 -0.52937317
78 3.2534637 4.028801 -0.8944702
79 2.5323944 3.9721985 -1.3047333
80 2.6108398 3.6340332 -1.4030304
81 2.6354675 4.279434 -1.5020752
82 2.5884552 4.019348 -2.139145
83 2.1743164 4.9100494 -2.9634018
84 1.9914093 5.1848755 -3.1762238
85 2.3646545 6.1131897 -2.679596
86 2.9739532 6.7670593 -2.2541656
87 2.1503448 6.7000427 -1.4597397
88 2.0489807 6.8367157 -0.8645096
89 2.142807 6.240509 -0.24865723
90 2.9620361 5.9223785 0.07367706
91 2.3806458 5.152519 0.052261353
